ddradID,altID,population_number,population_name,Country,Treatment,GPS_N,GPS_E,1Ovi_Egg,1Ovi_Dead,1Ovi_Living,2Ovi_Egg,2Ovi_Dead,2Ovi_Living,Pigmentation,LegLength,1Ovi_LegLength,2Ovi_LegLength,1Ovi_mass,2Ovi_mass
E18-PJ-4_trimmed.sorted,E18-Pulgoja-4,40,Pulgoja,Estonia,France,58.10143,24.488325,1,2,261,1,4,142,0.69,6255.81,577.6813,523.812,0.2987333,0.2494
E18-PJ-6_trimmed.sorted,E18-Pulgoja-6,40,Pulgoja,Estonia,France,58.10143,24.488325,0,51,254,1,0,140,0.38,6930.47,555.4507,554.414,0.2990667,0.3227333
E18-PJ-7_trimmed.sorted,E18-Pulgoja-7,40,Pulgoja,Estonia,Estonia,58.10143,24.488325,1,5,115,12,35,24,0.48,2972.6,581.9373,574.57,0.3139333,0.343
E18-PJ-9_trimmed.sorted,E18-Pulgoja-9,40,Pulgoja,Estonia,France,58.10143,24.488325,0,6,164,8,112,7,0.63,6142.07,592.5587,,0.2989333,
FrBuCB01_trimmed.sorted,FrBuCB01,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB03_trimmed.sorted,FrBuCB03,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB04_trimmed.sorted,FrBuCB04,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB05_trimmed.sorted,FrBuCB05,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB06_trimmed.sorted,FrBuCB06,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB07_trimmed.sorted,FrBuCB07,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB08_trimmed.sorted,FrBuCB08,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB09_trimmed.sorted,FrBuCB09,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB12_trimmed.sorted,FrBuCB12,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrBuCB13_trimmed.sorted,FrBuCB13,7,Chalon Sur Saone,France,NA,46.73,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA01_trimmed.sorted,FrLrLA01,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FrLrLA03_trimmed.sorted,FrLrLA03,6,Lyon,France,NA,45.48,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
