,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
43,SF18-Belflou-18.posterize.JPG,SF18-Belflou-18,51632,13327,0.258115122,7944,36557,5148,0,82227,15075,235,18
44,SF18-Belflou-19.posterize.JPG,SF18-Belflou-19,34778,16814,0.483466559,11926,23859,4638,0,63411,10919,250,7
45,SF18-Belflou-2.posterize.JPG,SF18-Belflou-2,27135,15185,0.559609361,12457,18011,2448,0,49893,9124,280,7
46,SF18-Belflou-20.posterize.JPG,SF18-Belflou-20,16356,9689,0.592382,7889,14339,1648,0,23526,2017,152,1
47,SF18-Belflou-3.posterize.JPG,SF18-Belflou-3,31348,8993,0.286876356,5723,26481,2900,0,40831,4867,370,0
48,SF18-Belflou-4.posterize.JPG,SF18-Belflou-4,23115,7349,0.317932079,6008,21390,1136,0,36605,1725,205,11
49,SF18-Belflou-5.posterize.JPG,SF18-Belflou-5,56670,28929,0.510481736,25782,45704,2969,0,74264,10966,178,11
50,SF18-Belflou-6.posterize.JPG,SF18-Belflou-6,26584,8048,0.302738489,6488,22908,1458,0,33813,3676,102,11
51,SF18-Belflou-7.posterize.JPG,SF18-Belflou-7,39912,9642,0.241581479,7631,38115,1774,0,71000,1797,237,46
52,SF18-Belflou-8.posterize.JPG,SF18-Belflou-8,30437,17414,0.572132602,15355,25397,1937,1,55997,5040,121,27
53,SF18-Belflou-9.posterize.JPG,SF18-Belflou-9,24506,9338,0.381049539,7984,22001,1193,3,38750,2505,158,0
54,G18-BM-1.posterize.JPG,G18-BM-1,25393,4945,0.194738708,3075,14944,1740,0,50878,10449,130,1
55,G18-BM-10.posterize.JPG,G18-BM-10,34565,11944,0.345551859,10141,33820,1583,0,65313,745,220,79
56,G18-BM-11.posterize.JPG,G18-BM-11,25520,6931,0.271590909,5751,24633,1110,0,41103,887,70,74
57,G18-BM-12.posterize.JPG,G18-BM-12,13282,2974,0.223912061,2044,11486,810,0,30217,1796,120,27
58,G18-BM-13.posterize.JPG,G18-BM-13,20256,6265,0.309291074,5005,17170,1180,0,44023,3086,80,43
59,G18-BM-14.posterize.JPG,G18-BM-14,13314,5106,0.383506084,4271,12197,757,1,32590,1117,77,12
60,G18-BM-15.posterize.JPG,G18-BM-15,34511,13361,0.387151923,10398,32246,2607,0,84442,2265,356,16
61,G18-BM-16.posterize.JPG,G18-BM-16,44456,6776,0.152420371,3685,38709,2900,0,82435,5747,191,57
62,G18-BM-17.posterize.JPG,G18-BM-17,13767,7112,0.516597661,5776,11750,1262,0,45809,2017,74,24
63,G18-BM-18.posterize.JPG,G18-BM-18,21574,8525,0.395151571,6966,20601,1330,0,51159,973,229,87
64,G18-BM-19.posterize.JPG,G18-BM-19,17922,4040,0.22542127,2794,15262,1051,0,31739,2660,195,3
