"","ddradID","altID","population_number","population_name","Country","Treatment","X1Ovi_Egg","X1Ovi_Dead","X1Ovi_Living","X2Ovi_Egg","X2Ovi_Dead","X2Ovi_Living","Pigmentation","LegLength","X1Ovi_LegLength","X2Ovi_LegLength","X1Ovi_mass","X2Ovi_mass","dat_filtered$population_number","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"4.6","FrBuCB08_trimmed.sorted","FrBuCB08",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.7","FrBuCB09_trimmed.sorted","FrBuCB09",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.8","FrBuCB12_trimmed.sorted","FrBuCB12",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"4.9","FrBuCB13_trimmed.sorted","FrBuCB13",7,"Chalon Sur Saone","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.90659014184975,-1.24759436833923,0.413042078035739,0.0646703052796893,-0.580064296820249,0.622427380877767,-0.447548834276453,0.231057419288141,0.134192388225737,-0.0858124351064227,-0.0364492117996628,-0.23187357853465,-0.0708504882020259,0.0386388996442049,0.0461601353967387,0.00078723691637151,0.00635421007532113,-0.00511921866148514,-2.24059430027083e-09
"5","FrLrLA01_trimmed.sorted","FrLrLA01",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.1","FrLrLA03_trimmed.sorted","FrLrLA03",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.2","FrLrLA04_trimmed.sorted","FrLrLA04",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.3","FrLrLA05_trimmed.sorted","FrLrLA05",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.4","FrLrLA06_trimmed.sorted","FrLrLA06",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.5","FrLrLA09_trimmed.sorted","FrLrLA09",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.6","FrLrLA10_trimmed.sorted","FrLrLA10",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.7","FrLrLA12_trimmed.sorted","FrLrLA12",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
"5.8","FrLrLA13_trimmed.sorted","FrLrLA13",6,"Lyon","France","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.16986808440702,-0.459313837538272,-1.13714105870295,-0.622791227961085,0.172477565042551,1.18798968149612,-0.295166453886474,0.273079014174097,0.519752547723721,0.178523874449607,0.0298262344895716,0.114721479143211,-0.0227489260466377,0.0588228689389198,-0.0176041938186145,0.00315629076642359,0.0037201452641817,-0.00603204636391101,1.71183746877515e-08
