"","rep(compounds, each = 4)","coef","SE","Sum Sq","F value","Pr(>F)","sig","var"
"Extracted.by.20","4-Hydroxyproline",0.00811332987281792,0.262492832801102,0.00407085007650631,0.0103134478304712,0.9201210361959,"","Extracted.by"
"Winter.treatment.Origin.20","4-Hydroxyproline",-0.23255239597625,0.513521517802557,0.0809478980978375,0.205080488922066,0.655525264753812,"","Winter.treatment:Origin"
"Winter.treatment.21","Cysteine",-1.17936996701069,0.546296362012661,2.87675190470166,2.99217994941753,0.0990714677775873,"","Winter.treatment"
"Origin.21","Cysteine",-0.119789420285714,0.524111064614689,0.886136531689651,0.921692259327155,0.348494688484949,"","Origin"
"Extracted.by.21","Cysteine",-0.354120525850374,0.409670021012374,1.10881618370331,1.15330680655647,0.295644678172062,"","Extracted.by"
"Winter.treatment.Origin.21","Cysteine",1.0286152403306,0.801448057623296,1.58368881296563,1.64723343174915,0.214008223035485,"","Winter.treatment:Origin"
"Winter.treatment.22","2-Oxogluterate",-0.895412161602898,0.579268598571569,2.44374689487804,2.260675177094,0.148323738942356,"","Winter.treatment"
"Origin.22","2-Oxogluterate",0.158963636571429,0.55574428644679,2.41522707209018,2.23429189838099,0.1505901427998,"","Origin"
"Extracted.by.22","2-Oxogluterate",-2.92027980589277,0.434396044803101,50.5225178684395,46.7376561250505,1.20735984075053e-06,"***","Extracted.by"
"Winter.treatment.Origin.22","2-Oxogluterate",0.182948306227407,0.84982021746759,0.0500980388997847,0.0463449767237395,0.831730070417778,"","Winter.treatment:Origin"
"Winter.treatment.23","Phenylpyruvate",0.16314527039164,0.127537450281124,0.188976477011895,3.60640256777294,0.0720791889255679,"","Winter.treatment"
"Origin.23","Phenylpyruvate",-0.171285096285714,0.12235810723472,0.133544952720956,2.54855455039336,0.126075746781815,"","Origin"
"Extracted.by.23","Phenylpyruvate",-0.301896236149626,0.0956408893957116,0.525327695289172,10.0252855761189,0.00485559507980666,"**","Extracted.by"
"Winter.treatment.Origin.23","Phenylpyruvate",-0.0338431424258402,0.187104745536756,0.00171437293882373,0.0327168707262184,0.858283674868665,"","Winter.treatment:Origin"
"Winter.treatment.24","Phosphoenolpyruvate",-0.449690766456597,0.413739268869944,0.000461206173942469,0.000836341298810523,0.97721537692662,"","Winter.treatment"
"Origin.24","Phosphoenolpyruvate",-0.343051653428571,0.396937164072317,0.0562058305498342,0.101922437249585,0.752845269555998,"","Origin"
"Extracted.by.24","Phosphoenolpyruvate",-0.408855130274314,0.31026487957404,1.33841423590325,2.4270514222159,0.134940784381864,"","Extracted.by"
"Winter.treatment.Origin.24","Phosphoenolpyruvate",0.87757046167961,0.606979208458676,1.15273089513064,2.09033726884333,0.163722437827764,"","Winter.treatment:Origin"
"Winter.treatment.25","Glutamate",-0.785621220340577,0.196971117857857,1.06192588731349,8.49632320064877,0.0085652379367173,"**","Winter.treatment"
"Origin.25","Glutamate",-0.142223100571428,0.188972047879818,0.368015228218979,2.94443930509992,0.101624737616636,"","Origin"
"Extracted.by.25","Glutamate",-0.50345376023192,0.147709499097468,1.84355753844743,14.7500507076515,0.00102108539447716,"**","Extracted.by"
"Winter.treatment.Origin.25","Glutamate",0.728783664401852,0.288967913374847,0.794989144331854,6.36059897582724,0.0202567592239616,"*","Winter.treatment:Origin"
"Winter.treatment.26","Asparagine",-1.61615288966287,0.613698197402438,4.14664740587219,3.41766372606215,0.0793418471940577,"","Winter.treatment"
"Origin.26","Asparagine",-0.561181511142857,0.588775686529747,0.26644879304247,0.219606898224508,0.644407022786356,"","Origin"
"Extracted.by.26","Asparagine",-0.377183099386534,0.460214950908434,1.50071849675665,1.23689107545833,0.279261361591751,"","Extracted.by"
"Winter.treatment.Origin.26","Asparagine",1.64051964186023,0.900330411249752,4.02834639874997,3.32016012345884,0.0834245015891645,"","Winter.treatment:Origin"
"Winter.treatment.27","Ribitol",1.0991641486713,0.627980910935263,1.79742029835979,1.41481179851054,0.248189264261988,"","Winter.treatment"
"Origin.27","Ribitol",0.201429639857142,0.602478373781217,0.685155565382255,0.539309686556089,0.471242054623062,"","Origin"
"Extracted.by.27","Ribitol",0.0488713639351619,0.470925619988399,0.120203814067483,0.0946165871854417,0.761568441582083,"","Extracted.by"
"Winter.treatment.Origin.27","Ribitol",-1.20265158274326,0.921283970186699,2.16492868023602,1.70409038026712,0.206572441018144,"","Winter.treatment:Origin"
"Winter.treatment.28","Dihydroxyacetone_phosphate",-0.765221311111151,0.532822187144814,1.81017673650358,1.97923924328159,0.174820582911127,"","Winter.treatment"
"Origin.28","Dihydroxyacetone_phosphate",0.441543350428572,0.511184080973842,3.30232539250157,3.61074798892238,0.0719212715065089,"","Origin"
"Extracted.by.28","Dihydroxyacetone_phosphate",-0.76061673144389,0.39956567859849,3.69883860273072,4.04429378052334,0.0579949577677416,"","Extracted.by"
"Winter.treatment.Origin.28","Dihydroxyacetone_phosphate",0.426387152838261,0.781680671224954,0.272127330354172,0.297542820292103,0.591459302591172,"","Winter.treatment:Origin"
"Winter.treatment.29","Aconitate",-0.686983676790049,0.174731902034215,1.80352401660036,18.33662642006,0.000363739894415603,"***","Winter.treatment"
"Origin.29","Aconitate",-0.189627343142857,0.167635974839568,0.0527005824745676,0.535812600254295,0.472664477503259,"","Origin"
"Extracted.by.29","Aconitate",0.503175987394015,0.131032214298784,1.31733839958062,13.3935239451054,0.00155653859478629,"**","Extracted.by"
"Winter.treatment.Origin.29","Aconitate",0.373882620194395,0.256341709789567,0.209235077751179,2.12731597659991,0.160220519937038,"","Winter.treatment:Origin"
"Winter.treatment.30","Dihydroxyacetone_phosphate2",0.231859316981475,0.243212961977649,0.08690080813533,0.456028827807917,0.507218882303497,"","Winter.treatment"
"Origin.30","Dihydroxyacetone_phosphate2",0.331537781571428,0.233335993599832,0.544629534577619,2.8580490052086,0.106444388726883,"","Origin"
"Extracted.by.30","Dihydroxyacetone_phosphate2",-0.851979303740648,0.182386459387691,3.99809681950558,20.98078769558,0.000181395671106845,"***","Extracted.by"
"Winter.treatment.Origin.30","Dihydroxyacetone_phosphate2",-0.337345146693623,0.356807347659544,0.170338521132063,0.893884392897927,0.355710136737217,"","Winter.treatment:Origin"
"Winter.treatment.31","Glutamine",-1.17703312852737,1.47224417596043,0.00270887607792508,0.000387946076430972,0.984480781987348,"","Winter.treatment"
"Origin.31","Glutamine",0.582076718857144,1.41245579522551,17.6811810790107,2.53217372406411,0.127229463753122,"","Origin"
"Extracted.by.31","Glutamine",0.529100197049875,1.10404231922576,0.59792121873449,0.0856300488284227,0.772822239133566,"","Extracted.by"
"Winter.treatment.Origin.31","Glutamine",2.67713168282449,2.15986654354354,10.7276206383443,1.5363339689106,0.229512377919443,"","Winter.treatment:Origin"
"Winter.treatment.32","2-Phosphoglycerate",-0.0865553580384753,0.169624151599744,0.0835494045495897,0.901384110227749,0.353743266182823,"","Winter.treatment"
"Origin.32","2-Phosphoglycerate",-0.0534542224285716,0.162735652040174,0.0645626198557214,0.696542602144824,0.413806227733182,"","Origin"
"Extracted.by.32","2-Phosphoglycerate",0.250100139538653,0.127201890003549,0.375141880174763,4.04726917796034,0.057910734125674,"","Extracted.by"
"Winter.treatment.Origin.32","2-Phosphoglycerate",-0.0354097202098324,0.248848347305054,0.00187676082666841,0.0202476893399369,0.888271193527932,"","Winter.treatment:Origin"
"Winter.treatment.33","4-Chloro_Phenylalanine_Hydroxide",-0.148529337171833,0.496847427080762,1.67022648566525,2.10025095948934,0.162774532759683,"","Winter.treatment"
"Origin.33","4-Chloro_Phenylalanine_Hydroxide",0.487551318428571,0.476670269227113,0.133289772824404,0.167607193196359,0.686598540776263,"","Origin"
"Extracted.by.33","4-Chloro_Phenylalanine_Hydroxide",0.0581668860723191,0.372588049355164,0.0815145122470325,0.102501627191564,0.752168705932836,"","Extracted.by"
"Winter.treatment.Origin.33","4-Chloro_Phenylalanine_Hydroxide",-0.761736487440208,0.728903637399256,0.868507268557292,1.09211729053883,0.308469710259888,"","Winter.treatment:Origin"
"Winter.treatment.34","3-Phosphoglycerate",-0.11761042443451,0.208724446499328,1.27549222689824,9.08809997802689,0.00684627357367877,"**","Winter.treatment"
"Origin.34","3-Phosphoglycerate",0.475197479428571,0.200248069496277,0.141319498493448,1.00692556494548,0.327627468647692,"","Origin"
"Extracted.by.34","3-Phosphoglycerate",0.294258425416459,0.156523371431849,0.69999603380385,4.98759130418381,0.0371154980214126,"*","Extracted.by"
"Winter.treatment.Origin.34","3-Phosphoglycerate",-0.6527860430703,0.306210719780534,0.637831054640698,4.54465520951189,0.0456108176455278,"*","Winter.treatment:Origin"
"Winter.treatment.35","Orniithine",-0.115564229279895,0.157565073273118,0.138724134302158,1.73449889575024,0.202728719938654,"","Winter.treatment"
"Origin.35","Orniithine",0.108560019428572,0.151166297346406,0.0532044364986123,0.665226975969829,0.424328126697661,"","Origin"
"Extracted.by.35","Orniithine",-0.17962046774813,0.118158734648719,0.174586159923722,2.18288982752917,0.155127263483547,"","Extracted.by"
"Winter.treatment.Origin.35","Orniithine",-0.0907105063196772,0.231156988596396,0.0123162677483076,0.153993051869934,0.698899057435598,"","Winter.treatment:Origin"
"Winter.treatment.36","Citrate",-0.993055664600285,0.157948650586388,3.43720499286668,42.7676620889616,2.25644498163753e-06,"***","Winter.treatment"
"Origin.36","Citrate",-0.158313336714286,0.151534297443055,0.0381443413151936,0.474613618727945,0.498787180280906,"","Origin"
"Extracted.by.36","Citrate",-0.0933181695960099,0.118446380946432,0.104502753269937,1.30028277291873,0.267633582083521,"","Extracted.by"
"Winter.treatment.Origin.36","Citrate",0.512191145235482,0.231719718488163,0.392670315840481,4.88582770451098,0.0388954954483345,"*","Winter.treatment:Origin"
"Winter.treatment.37","Isocitrate",-0.753470379211851,0.167879650319785,0.569120188909465,6.2683003238983,0.0210683286226239,"*","Winter.treatment"
"Origin.37","Isocitrate",-0.636854907285714,0.161061995602681,0.259013457599522,2.85277902946327,0.106747001626107,"","Origin"
"Extracted.by.37","Isocitrate",-0.402396878700748,0.125893680896345,1.29821724142167,14.2985887927943,0.00117244914841039,"**","Extracted.by"
"Winter.treatment.Origin.37","Isocitrate",0.867759459708823,0.246289063993714,1.12710052743637,12.4139061289201,0.00213646055751525,"**","Winter.treatment:Origin"
"Winter.treatment.38","Fructose",0.222693306232633,0.217529860850608,0.120090615367828,0.787795003566507,0.38531747392377,"","Winter.treatment"
"Origin.38","Fructose",0.230806254285714,0.208695892712636,0.264575655508429,1.73561754876903,0.202589035347165,"","Origin"
"Extracted.by.38","Fructose",-0.657416791256858,0.163126590001751,2.38448680081954,15.6422446666816,0.000781519300086523,"***","Extracted.by"
"Winter.treatment.Origin.38","Fructose",-0.253585630462772,0.319128767051437,0.0962527663917548,0.631418601783538,0.43616388365307,"","Winter.treatment:Origin"
"Winter.treatment.39","Glucose",6.39875097429451,3.0979113558819,280.546097696178,9.07419640013443,0.00688195434126118,"**","Winter.treatment"
"Origin.39","Glucose",2.28395502042857,2.97210402945273,79.2666812992474,2.56386183947278,0.125008887745719,"","Origin"
"Extracted.by.39","Glucose",-12.3032734774564,2.32313721728427,879.444904506357,28.4454350002419,3.20920151015971e-05,"***","Extracted.by"
"Winter.treatment.Origin.39","Glucose",-0.759613034998815,4.5448134227245,0.863671834326107,0.0279352588194857,0.868939477570428,"","Winter.treatment:Origin"
"Winter.treatment.40","Lysine",-0.62125833246586,0.162707479963598,1.35699485915059,15.9112786260863,0.000722030139469909,"***","Winter.treatment"
"Origin.40","Lysine",-0.053984184142857,0.156099868998429,0.0762119328563038,0.893613774681706,0.355781401670474,"","Origin"
"Extracted.by.40","Lysine",-0.299521616144638,0.122015047821265,0.608040441447292,7.12950444473477,0.014707597895394,"*","Extracted.by"
"Winter.treatment.Origin.40","Lysine",0.286006538832799,0.238701193793754,0.122437897740551,1.43563071901511,0.244854174724904,"","Winter.treatment:Origin"
"Winter.treatment.41","Glucuronate",0.00683681884265516,0.424903319743847,0.86250460487632,1.48293832728334,0.237488067050655,"","Winter.treatment"
"Origin.41","Glucuronate",0.542490234571429,0.407647838709389,5.89376703544566,10.1333870909533,0.00467082362036562,"**","Origin"
"Extracted.by.41","Glucuronate",-0.76516809646384,0.318636849944198,3.98518124798306,6.85187995564661,0.0164862017486132,"*","Extracted.by"
"Winter.treatment.Origin.41","Glucuronate",0.753112840422753,0.623357510622603,0.84895377557758,1.45963984977961,0.241079569092644,"","Winter.treatment:Origin"
"Winter.treatment.42","Tyrosine",0.219379360273008,0.24541426534591,0.142048076446982,0.732112236518331,0.402334154749405,"","Winter.treatment"
"Origin.42","Tyrosine",0.0758039591428571,0.235447901223797,0.0633040156648907,0.326267314899633,0.5742286315809,"","Origin"
"Extracted.by.42","Tyrosine",-1.26066894148878,0.1840372263703,8.95504324192767,46.154069100774,1.32039380268607e-06,"***","Extracted.by"
"Winter.treatment.Origin.42","Tyrosine",-0.321070124156157,0.360036785802299,0.154299220293743,0.795254325773639,0.38311980980455,"","Winter.treatment:Origin"
"Winter.treatment.43","myo-Inositol1",-0.489199493920319,0.100697466093089,1.83970820796931,56.3188498858168,3.08459575376723e-07,"***","Winter.treatment"
"Origin.43","myo-Inositol1",0.316124467285714,0.0966081047356991,0.555569817735073,17.0076173115786,0.000526395727806516,"***","Origin"
"Extracted.by.43","myo-Inositol1",-0.347599266448878,0.0755134683640684,0.663509269453045,20.3119596805089,0.00021529329475708,"***","Extracted.by"
"Winter.treatment.Origin.43","myo-Inositol1",-0.144088957753711,0.147728951206202,0.031076016219997,0.951327762175432,0.341032157825949,"","Winter.treatment:Origin"
"Winter.treatment.44","myo-Inositol2",-0.487607892545423,0.10026315099335,1.8293679659552,56.4885318474314,3.01579517027172e-07,"***","Winter.treatment"
"Origin.44","myo-Inositol2",0.316371345285714,0.0961914273328621,0.555017937673843,17.1382406555994,0.000507292754206059,"***","Origin"
"Extracted.by.44","myo-Inositol2",-0.34244966136409,0.0751877735793168,0.643540762258053,19.8717117170863,0.000241397738509197,"***","Extracted.by"
"Winter.treatment.Origin.44","myo-Inositol2",-0.143446604594941,0.147091786075173,0.0307995580878479,0.951050772895635,0.341100854695207,"","Winter.treatment:Origin"
"Winter.treatment.45","Tryptophan",-1.31921645861062,0.442603128629617,7.19270372730861,11.3973826329363,0.00300294970768703,"**","Winter.treatment"
"Origin.45","Tryptophan",-0.0558664708571425,0.424628851807152,0.35048454155443,0.555369243398519,0.464800549022641,"","Origin"
"Extracted.by.45","Tryptophan",-0.953505929451371,0.331910013710901,5.6750355057606,8.99252264055856,0.00709577918413627,"**","Extracted.by"
"Winter.treatment.Origin.45","Tryptophan",0.383204972021731,0.649324144190401,0.219799252035638,0.348288525825427,0.561693033344366,"","Winter.treatment:Origin"
"Winter.treatment.46","Cystin2",-1.33776323422836,1.49278532924814,8.64660266397968,1.20446088749682,0.285470030627779,"","Winter.treatment"
"Origin.46","Cystin2",-0.809529803571428,1.43216276467771,19.0162700909116,2.64894253161353,0.119271061043161,"","Origin"
"Extracted.by.46","Cystin2",-2.35396887280299,1.11944621953363,44.5682158431515,6.2082964714242,0.0216155171935162,"*","Extracted.by"
"Winter.treatment.Origin.46","Cystin2",5.13232894293053,2.1900015921152,39.4269249887777,5.49212111493012,0.0295475493135807,"*","Winter.treatment:Origin"
"Winter.treatment.47","Fructose-6-phosphat2",0.0470108800273126,0.15699107423447,0.290307975092782,3.65637692982651,0.0702869742384067,"","Winter.treatment"
"Origin.47","Fructose-6-phosphat2",0.476732123285714,0.150615608621103,0.28728649329877,3.61832190801051,0.07164698162768,"","Origin"
"Extracted.by.47","Fructose-6-phosphat2",0.412104718284289,0.117728290269851,1.18426306568984,14.9155811198437,0.000971111227945342,"***","Extracted.by"
"Winter.treatment.Origin.47","Fructose-6-phosphat2",-0.474475860733761,0.230314899125201,0.336970734182503,4.2440860196756,0.0526384510322871,"","Winter.treatment:Origin"
"Winter.treatment.48","Glucose-6-phosphat2",0.0894731381251631,0.189948443493641,0.334515977566459,2.87797689841223,0.105309183498805,"","Winter.treatment"
"Origin.48","Glucose-6-phosphat2",0.595274550857143,0.182234566920012,0.492751938525867,4.23934517580269,0.0527588072199098,"","Origin"
"Extracted.by.48","Glucose-6-phosphat2",0.425908018581047,0.142443165007759,1.30745923477312,11.2486031330004,0.00315975489508548,"**","Extracted.by"
